Code,Area,Year,Income,Net additions,Persons per dwelling,Rent,Waiting_list,Income/Rent ratio
E09000033,Westminster,2000,23457.2,,,3142.88,8099,7.463600264725347
E09000001,City of London,2001,34933.6,108.10000000000036,1.4718,2960.36,703,11.800456701212013
E09000002,Barking and Dagenham,2001,18486.0,227.6999999999971,2.4360882352941178,3337.3600000000006,2157,5.539108756621999
E09000003,Barnet,2001,16624.399999999998,285.6000000000058,2.4387862595419847,3520.4,6732,4.722304283604135
E09000004,Bexley,2001,16796.0,301.6000000000058,2.3777934782608696,3306.16,3596,5.080213903743315
E09000005,Brent,2001,18772.0,1401.1000000000058,2.6695049504950497,3244.28,13511,5.786183683282577
E09000006,Bromley,2001,9531.6,257.1999999999971,2.296263565891473,3419.5200000000004,3787,2.7874087591240873
E09000007,Camden,2001,25469.6,772.1000000000058,2.1781397849462367,3388.32,8614,7.516881522406384
E09000008,Croydon,2001,18673.2,123.60000000000582,2.37668085106383,3736.2,6214,4.997912317327766
E09000009,Ealing,2001,19890.0,258.6999999999971,2.560633333333333,3311.36,8132,6.006595477386934
E09000010,Enfield,2001,18938.4,1182.8999999999942,2.4536814159292035,3331.12,8845,5.685295035903841
E09000011,Greenwich,2001,17903.600000000002,565.8999999999942,2.2890526315789472,3271.84,5869,5.4720279720279725
E09000012,Hackney,2001,22776.0,1348.5565012377629,2.3821379310344826,3111.16,8307,7.320742102624102
E09000013,Hammersmith and Fulham,2001,24081.2,192.3000000000029,2.1996623376623377,3106.48,6865,7.751925008369602
E09000014,Haringey,2001,17612.399999999998,682.6842980077781,2.3537340425531914,3220.36,10344,5.469077991280477
E09000015,Harrow,2001,18574.4,229.10000000000585,2.593135802469136,3458.0,3141,5.371428571428572
E09000016,Havering,2001,9443.2,402.4693386773579,2.3906063829787234,3352.44,1985,2.8168140220257487
E09000017,Hillingdon,2001,21429.2,267.5,2.480969696969697,3422.12,5810,6.261966266524845
E09000018,Hounslow,2001,20597.2,711.1999999999971,2.5113488372093022,3481.92,4983,5.9154719235364395
E09000019,Islington,2001,26197.6,1011.3000000000028,2.161289156626506,3076.32,6427,8.515889114266395
E09000020,Kensington and Chelsea,2001,21481.2,67.69999999999709,1.9309404761904765,2910.44,6150,7.380739681972486
E09000021,Kingston upon Thames,2001,17752.8,146.59999999999854,2.4039516129032257,3267.16,3723,5.433710011141175
E09000022,Lambeth,2001,22952.8,1065.0,2.2781,3027.44,13115,7.581587083476468
E09000023,Lewisham,2001,18371.6,470.5,2.333357798165137,3085.16,10182,5.954828922973201
E09000024,Merton,2001,18241.6,-186.8000000000029,2.3593333333333333,3472.56,4214,5.253069781371668
E09000025,Newham,2001,19078.8,1219.3999999999942,2.6818387096774194,3346.2,11426,5.701631701631702
