Code,Area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
E09000021,Kingston upon Thames,15054.0,16868.8,15886.0,17009.2,17752.8,18330.0,19396.0,19942.0,18590.0,21429.2,21476.0,20893.600000000002,22926.8,22911.2,22916.399999999998,23868.0,23810.8,23410.399999999998,22926.8,25277.2,25272.0,25136.8,28719.6,27112.8,29894.8,30196.4,30596.8,33883.200000000004
E09000022,Lambeth,19760.0,20935.2,21595.600000000002,22094.8,22952.8,22562.8,23394.8,24918.399999999998,24497.2,26187.2,27310.4,27903.2,29681.6,30050.8,30498.0,31085.6,30529.2,31293.6,30518.8,29894.8,31460.0,30487.6,31226.0,33066.799999999996,30799.6,32203.6,36758.799999999996,43352.4
E09000023,Lewisham,16120.0,15600.0,17940.0,18543.2,18371.600000000002,18886.399999999998,19182.8,20690.8,20347.600000000002,21294.0,21819.2,21663.2,25173.2,23732.8,22344.399999999998,22349.600000000002,24242.399999999998,23202.399999999998,24325.600000000002,25511.2,25329.2,24913.2,26249.600000000002,27882.4,27128.4,32084.0,29894.8,31730.4
E09000024,Merton,13982.8,16952.0,16962.399999999998,16962.399999999998,18241.600000000002,17357.600000000002,17830.8,19427.2,21044.399999999998,19786.0,20373.600000000002,18938.399999999998,19260.8,23051.600000000002,22713.600000000002,23920.0,23181.600000000002,22968.399999999998,23368.8,24315.2,24897.600000000002,24138.399999999998,24346.399999999998,23920.0,29213.6,25963.600000000002,30940.0,35906.0
E09000025,Newham,16889.600000000002,17279.600000000002,16733.600000000002,18772.0,19078.8,19515.600000000002,21247.2,23259.600000000002,23322.0,22386.0,23415.600000000002,24632.399999999998,25906.399999999998,26270.399999999998,24232.0,23644.399999999998,23545.600000000002,23114.0,23384.399999999998,23613.2,23462.399999999998,24169.600000000002,26358.8,26431.600000000002,32822.4,33742.799999999996,35547.200000000004,38552.799999999996
E09000026,Redbridge,14180.4,14123.2,15262.0,15953.6,16972.8,17425.2,17659.2,17565.600000000002,18803.2,20384.0,22614.8,22765.600000000002,22802.0,21491.600000000002,22734.399999999998,20306.0,22838.399999999998,22640.8,22552.399999999998,23088.0,18683.600000000002,19770.399999999998,21975.2,20082.399999999998,21632.0,22807.2,25199.2,26967.2
E09000027,Richmond upon Thames,15906.8,16525.600000000002,18824.0,18969.600000000002,18584.8,18460.0,20051.2,22349.600000000002,21923.2,21938.8,23166.0,24944.399999999998,24393.2,25573.600000000002,23977.2,24913.2,24913.2,23920.0,25454.0,26218.399999999998,26182.0,26535.600000000002,27107.6,24008.399999999998,27341.6,28683.2,31891.6,33924.799999999996
E09000028,Southwark,19682.0,19999.2,20763.600000000002,22672.0,28147.6,29348.8,29811.6,27008.8,27040.0,28329.6,28470.0,28730.0,29640.0,30435.6,30846.4,31709.6,31564.0,31501.6,33503.6,32921.200000000004,33430.799999999996,35687.6,35609.6,38480.0,39691.6,39447.200000000004,39962.0,43336.799999999996
E09000029,Sutton,17446.0,15808.0,16442.399999999998,16759.600000000002,18106.399999999998,19500.0,20950.8,20592.0,19510.399999999998,21075.600000000002,22687.600000000002,21725.600000000002,20945.600000000002,21008.0,21226.399999999998,21959.600000000002,23956.399999999998,20727.2,22682.399999999998,22058.399999999998,23145.2,21548.8,25948.0,26478.399999999998,27008.8,29894.8,31860.4,34985.6
E09000030,Tower Hamlets,22100.0,23644.399999999998,25095.2,26488.8,29047.2,28048.8,31938.4,34918.0,34881.6,35250.799999999996,37960.0,39863.200000000004,40097.200000000004,39863.200000000004,41516.799999999996,40263.6,42853.200000000004,42504.799999999996,40118.0,39020.799999999996,42198.0,42333.200000000004,41324.4,44792.799999999996,42426.799999999996,49826.4,51006.799999999996,56721.6
E09000031,Waltham Forest,14196.0,15787.2,16707.600000000002,16525.600000000002,17092.399999999998,17586.399999999998,18657.600000000002,18298.8,17435.600000000002,19500.0,21252.399999999998,20997.600000000002,22276.8,21892.0,22209.2,22906.0,19775.600000000002,18876.0,19931.600000000002,20108.399999999998,22443.2,23571.600000000002,25022.399999999998,24414.0,24913.2,24939.2,29614.0,31064.8
E09000032,Wandsworth,16770.0,17794.399999999998,18252.0,19962.8,19791.2,20919.600000000002,22505.600000000002,22952.8,22963.2,23379.2,24419.2,24908.0,25911.600000000002,26384.8,26026.0,24195.600000000002,24762.399999999998,25152.399999999998,26280.8,25911.600000000002,28516.8,28745.6,29894.8,27788.8,29894.8,30300.4,36873.200000000004,35880.0
E09000033,Westminster,21054.8,21366.8,22448.399999999998,23457.2,24954.8,26447.2,25948.0,27944.8,28173.6,28496.0,30399.2,31891.6,31891.6,32786.0,32115.2,32037.2,31891.6,32281.6,32952.4,33540.0,35885.200000000004,37752.0,37871.6,40008.799999999996,40918.799999999996,40461.200000000004,44844.799999999996,45619.6
